sep=,
Time,x-Position,y-Position,Collision,SplitTimes
25.92,807,-6,,Cube (1)
25.94,803,-8,,Cube (1)
25.96,800,-9,,Cube (1)
25.98,796,-10,,Cube (1)
26,789,-13,,Cube (1)
26.02,785,-14,,Cube (1)
26.04,782,-15,,Cube (1)
26.06,778,-16,,Cube (1)
26.08,775,-17,,Cube (1)
26.1,767,-20,,Cube (1)
26.12,769,-21,Wall_666_00,Cube (1)
26.14,769,-22,,Cube (1)
26.16,769,-24,,Cube (1)
26.18,769,-25,,Cube (1)
26.2,769,-26,,Cube (1)
26.22,765,-28,,
26.24,768,-29,,
26.26,769,-30,,
26.28,769,-32,Wall_666_-63,
26.3,769,-33,,
26.32,765,-35,,
26.34,768,-36,,
26.36,769,-37,,
26.38,769,-38,,
26.4,769,-38,,
26.42,766,-40,,
26.44,768,-41,,
26.46,769,-42,,
26.48,769,-43,,
26.5,769,-43,,
26.52,769,-44,,
26.54,765,-46,,
